"Frame theory and computations
","Viacheslav E. Wolfengagen
","Moscow Engineering and Physics Institute, Moscow, USSR
","1984
","Computers and Artificial Intelligence
"
"Natural language interface to the question-answering system for physicians
","Leonard Bolc;Tomek Strzalkowski
","Warsaw University, Warsaw, Poland;Simon Fraser Univ., B.C., Canada
","1984
","Computers and Artificial Intelligence
"
"Some issues in the semantics and pragmatics of definite reference in the context of natural language database access
","Genevieve Berry-Rogghe
","Temple Univ., Philadelphia, PA
","1984
","Computers and Artificial Intelligence
"
"Stationary wave solutions of a system of reaction-diffusion equations derived from the Fitzhugh-Nagumo equations
","Gene A. Klaasen;William C. Troy
","Univ. of Tennessee, Knoxville;Univ. of Pittsburgh, Pittsburgh, PA
","1984
","SIAM Journal on Applied Mathematics
"
"Up and running: the small business computer implementation cookbook
","Jess W. Curry, Jr.;David M. Bonner
","Arthur Young;Arthur Young
","1984
","Up and running: the small business computer implementation cookbook
"
"Proc. IFIP working conference on Programming Languages and System Design
","J Bormann
","Technical Univ. of Dresden, East Germany
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"Fast automatic liveness analysis of hierarchical parallel systems
","Johannes Rohrich
","Univ. Karlsruhe, Karlsruhe, W. Germany
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"Concatenable type declarations: their applications and implementaion
","A Kreczmar;A Salwicki
","Univ. of Warsaw, Poland;Univ. of Warsaw, Poland
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"On the coherence of programming language and programming methodology
","Broy Manfred;Peter Pepper
","Technishe Univ. Munchen, Munich, West Germany;Technishe Univ. Munchen, Munich, West Germany
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"On the design of data abstraction mechanisms for compiler description languages1)
","Harald Ganzinger
","Technische Univ. Munchen, Munich, West Germany
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"The remodularization of a compiler by abstract data types
","Klaus Bothe
","Humboldt-Univ. Berlin, Berlin, West Germany
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"Experience with abstract data type specifications in a compiler project
","Ulrich L. Hupbach;Heinz Kaphengst
","-;-
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"XYZ: a program development environment based on temporal logic
","Chih-sung Tang
","Academia Sinica, Beijing, China
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"Design and verification oriented microprogram transformations
","Piotr Dembinski
","Polish Academy of Sciences, Warsaw, Poland
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"ELSA - an extensible programming system
","C. H. Lindsey
","Univ. of Manchester, Manchester, UK
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"A skeleton interpreter for specialized languages
","J Steensgaard-Madsen
","Univ. of Copenhagen, Copenhagen, Denmark
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"Comparing PASCAL and MODULA-2 as systems programming languages
","Pieter H. Hartel
","Univ. van Amsterdam, Plantage Muidergracht, Amsterdam
","1983
","Proc. IFIP working conference on Programming Languages and System Design
"
"ADA: Concurrent Programming
","Narain Gehani
","AT&T Bell Laboratories, Murray Hill, NJ
","1984
","ADA: Concurrent Programming
"
"Computers, Data Processing, and The Law
","Steven L. Mandell
","-
","1984
","Computers, Data Processing, and The Law
"
"On the Multiple Implementation of Abstract Data Types Within a Computation
","J. R White
","Xerox Palo Alto Research Center, Palo Alto, CA
","1983
","IEEE Transactions on Software Engineering
"
"Matings in matrices
","Wolfgang Bibel
","Technische Univ. Munchen, Munich, West Germany
","1983
","Communications of the ACM
"
"on Automata, languages and programming
","M. Nielsen
","-
","1982
","on Automata, languages and programming
"
"Register Allocation in Optimizing Compilers
","Bruce W. Leverett
","-
","1983
","Register Allocation in Optimizing Compilers
"
"Polymorphic programming languages: design and implementation
","David M. Harland
","Univ. of Glasgow, Glasgow, UK
","1984
","Polymorphic programming languages: design and implementation
"
"Analysis of speedup in distributed algorithms
","John P. Fishburn
","-
","1984
","Analysis of speedup in distributed algorithms
"
"Automated microcode synthesis
","Robert A. Mueller
","-
","1984
","Automated microcode synthesis
"
"A class of generalized stochastic Petri nets for the performance evaluation of multiprocessor systems
","Marco Ajmone Marsan;Gianni Conte;Gianfranco Balbo
","Politecnico di Torino, Turin, Italy;Politecnico di Torino, Turin, Italy;Univ. di Torino, Turin, Italy
","1984
","ACM Transactions on Computer Systems (TOCS)
"
"Static grouping of small objects to enhance performance of a paged virtual memory
","James W. Stamos
","Xerox Palo Alto Research Center, Palo Alto, CA
","1984
","ACM Transactions on Computer Systems (TOCS)
"
"A supervised learning algorithm for hierarchical classification of fuzzy patterns
","Prasenjit Biswas;Arun K. Majumdar
","Southern Methodis Univ., Dallas, TX;Indian Institute of Technology, Kharagpur, India
","1983
","Information Sciences: an International Journal
"
"Quantifiers in the formulation of multiple objective decision functions
","Ronald R. Yager
","National Science Foundation, Washington, DC
","1983
","Information Sciences: an International Journal
"
"On the implication operator in fuzzy logic
","Ronald R. Yager
","National Science Foundation, Washington, DC
","1983
","Information Sciences: an International Journal
"
"The application of coding theory to the design of combinatorial filing schemes of any order
","Lois Wright Hawkes
","The Florida State Univ., Tallahassee,
","1983
","Information Sciences: an International Journal
"
"Algorithmic theories of data structures
","Andrzej Salwicki
","Univ. of Warsaw, Warsaw, Poland
","1982
","on Automata, languages and programming
"
"Micro-PROLOG: programming in logic
","K. L Clark;F. G McCabe
","-;-
","1984
","Micro-PROLOG: programming in logic
"
"The DISS methodology of distributed system simulation
","Myron Melman;Miron Livny
","The Weizmann Institute of Science, Rehovot, Israel;Univ. of Wisconsin - Madison, Madison
","1984
","Simulation
"
"Information Technology Research Development Applications
","C J. van Rijsbergen
","University College, Dublin, Ireland
","1984
","Information Technology Research Development Applications
"
"Special-purpose hardware and effective information processing
","Maristella Agosti
","Univ. of Padua, Padova, Italy
","1984
","Information Technology Research Development Applications
"
"Relevance feedback and a fuzzy set of search terms in an information retrieval system
","A F. Smeaton
","University College Dublin, Dublin, Ireland
","1984
","Information Technology Research Development Applications
"
"Direct file organization for lemmatized text retrieval
","K Devine;F J. Smith
","The Queen's University of Belfast, Belfast, UK;The Queen's University of Belfast, Belfast, UK
","1984
","Information Technology Research Development Applications
"
"Soft evaluation of Boolean search queries in information retrieval systems
","C D. Paice
","Univ. of Lancaster, Lancaster, UK
","1984
","Information Technology Research Development Applications
"
"Augmented semantic networks for an enterprise knowledge base
","Paltin Sturdza
","The Medical College of Pennsylvania, Philadelphia, PA
","1984
","Information Technology Research Development Applications
"
"Technology and Science of Informatics
","Bertrand Meyer
","Univ. of California, CA
","1984
","Technology and Science of Informatics
"
"A comparative study of some distributed systems
","Marc Guillemont
","INRIA, Le Chesnay Cedex, France
","1984
","Technology and Science of Informatics
"
"Controlled execution of timed petri nets
","Philippe Chretienne
","Institut de Programmation, Paris, France
","1984
","Technology and Science of Informatics
"
"A two-level control structure for parallel heuristic programming
","Andre Schiper;Giovanni Coray;Beat Hirsbrunner
","EPFL, Lausanne, Switzerland;EPFL, Lausanne, Switzerland;EPFL, Lausanne, Switzerland
","1984
","Technology and Science of Informatics
"
"SCEPTRE: proposed standard for a real-time executive kernel
","F Browaeys;H Derriennic;P Desclaud;H Fallour;C Faulle;J Febvre;J E. Hanne;M Kronental;J J. Simon;D Vojnovic
","-;-;-;-;-;-;-;-;-;-
","1984
","Technology and Science of Informatics
"
"The application of human factors to the needs of the novice computer user
","Anne Lee Paxton;Edward J. Turner
","Old Dominion Univ. Norfolk, VA;Univ. of North Carolina at Greensboro, Greensboro
","1984
","International Journal of Man-Machine Studies
"
"Type-checking in an untyped language
","Allan Ramsay
","Univ. of Sussex, Brighton, UK
","1984
","International Journal of Man-Machine Studies
"
"A methodology for interactive evaluation of user reactions to software packagesn empirical analysis of system performance, interaction, and run time
","Avi Rushinek;Sara F. Rushinek;Joel Stutz
","Univ. of Miami, Coral Gables, FL;Univ. of Miami, Coral Gables, FL;Univ. of Miami, Coral Gables, FL
","1984
","International Journal of Man-Machine Studies
"
"The depth/breadth trade-off in the design of menu-driven user interfaces
","John I. Kiger
","American Bell, Holmdel, NJ
","1984
","International Journal of Man-Machine Studies
"
"The influence of rule-generated stress on computer-synthesized speech
","David L. McPeters;Alan L. Tharp
","North Carolina State Univ., Raleigh;North Carolina State Univ., Raleigh
","1984
","International Journal of Man-Machine Studies
"
"Formal specification of interactive graphics programming languages
","William R. Mallgren
","-
","1983
","Formal specification of interactive graphics programming languages
"
"VAX/VMS internals and data structures
","Lawrence J. Kenah;Simon F. Bate
","Digital Equipment Corp.;Tandem Computers Inc.
","1984
","VAX/VMS internals and data structures
"
"Smalltalk-80: bits of history, words of advice
","Glenn Krasner
","Xerox Palo Alto Research Center, Palo Alto, CA
","1983
","Smalltalk-80: bits of history, words of advice
"
"Overcoming computer illiteracy: a friendly introduction to computers
","Susan Curran;Ray Curnow
","-;-
","1984
","Overcoming computer illiteracy: a friendly introduction to computers
"
"Electronic analog-to-digital converters: principles, circuits, devices, testing
","Dieter Seitzer;Gunter Pretzl;Nadder A. Hamdy
","Univ. of Erlangen-Nuremberg, West Germany;Univ. of Erlangen-Nuremberg, West Germany;Univ. of Assiut, Egypt
","1983
","Electronic analog-to-digital converters: principles, circuits, devices, testing
"
"A practical guide to designing expert systems
","Sholom M. Weiss;Casimir A. Kulikowski
","-;-
","1984
","A practical guide to designing expert systems
"
"Parallel programming in ansi standard ADA
","George W. Cherry
","Thought**Tools and George Washington University
","1984
","Parallel programming in ansi standard ADA
"
"Introduction to computer science using the TURING programming language
","R C. Holt;J N.P Hume
","Univ. of Toronto, Toronto, Ont., Canada;Univ. of Toronto, Toronto, Ont., Canada
","1984
","Introduction to computer science using the TURING programming language
"
"Best approximate circles on integer grids
","M. D. McIlroy
","AT&T Bell Laboratories
","1983
","ACM Transactions on Graphics (TOG)
"
"A multiresolution spline with application to image mosaics
","Peter J. Burt;Edward H. Adelson
","RCA David Sarnoff Research Center;RCA David Sarnoff Research Center
","1983
","ACM Transactions on Graphics (TOG)
"
"Efficient polygon-filling algorithms for raster displays
","Michael R. Dunlavey
","Boston College, Boston, MA
","1983
","ACM Transactions on Graphics (TOG)
"
"Physical structures and application on Database design techniques II
","S B. Yao;T L. Kunii
","Univ. of Maryland, College Park;Univ. of Tokyo, Japan
","1982
","Physical structures and application on Database design techniques II
"
"Physical database design techniques
","Mario Schkolnick
","IBM Research Laboratory, San Jose, CA
","1982
","Physical structures and application on Database design techniques II
"
"Design of optimal balanced filing schemes
","Sumiyasu Yamamoto
","Hiroshima Univ., Hiroshima, Japan
","1982
","Physical structures and application on Database design techniques II
"
"Parallel join and sorting algorithms
","Mamoru Maekawa
","Univ. of Tokyo, Japan
","1982
","Physical structures and application on Database design techniques II
"
"A language for office and business automation
","Moshe M. Zloof
","IBM Thomas J. Watson Research Center, Yorktown Heights, NY
","1982
","Physical structures and application on Database design techniques II
"
"APAD: an application-adaptable database system - its architecture and design -
","Hiroyuki Kitagawa;Tosiyasu L. Kunii
","Univ. of Tokyo, Japan;Univ. of Tokyo, Japan
","1982
","Physical structures and application on Database design techniques II
"
"Specific requirements in engineering data base
","Hideo Matsuka;Sakae Uno;Masaaki Sibuya
","Tokyo Scientific Center, IBM Japan, Ltd., Tokyo, Japan;Tokyo Scientific Center, IBM Japan, Ltd., Tokyo, Japan;Tokyo Scientific Center, IBM Japan, Ltd., Tokyo, Japan
","1982
","Physical structures and application on Database design techniques II
"
"Pattern databases
","Larry S. Davis;T L. Kunii
","Univ. of Texas, Austin;Univ. of Tokyo, Japan
","1982
","Physical structures and application on Database design techniques II
"
"Memories that shaped an industry
","Emerson W. Pugh
","-
","1984
","Memories that shaped an industry
"
"Effective methods of EDP quality assurance
","William E. Perry
","-
","1983
","Effective methods of EDP quality assurance
"
"The data center disaster consultant
","Kenniston W. Lord, Jr.
","-
","1983
","The data center disaster consultant
"
"A structured approach to systems testing
","William E. Perry
","-
","1983
","A structured approach to systems testing
"
"Creating and planning the corporate data base system project
","Leo J. Cohen
","-
","1983
","Creating and planning the corporate data base system project
"
"Managing systems maintenance
","William E. Perry
","-
","1983
","Managing systems maintenance
"
"Smalltalk-80: the language and its implementation
","Adele Goldberg;David Robson
","Xerox Palo Alto Research Center;Xerox Palo Alto Research Center
","1983
","Smalltalk-80: the language and its implementation
"
"Tree automata and attribute grammars
","Tsutomu Kamimura
","Univ. of Kansas, Lawrence
","1984
","Information and Control
"
"Commutative grammars: the complexity of uniform word problems
","Dung T. Huynh
","Univ. des Saarlandes, Saarbrucken, West Germany
","1984
","Information and Control
"
"On the random oracle hypothesis
","Stuart A. Kurtz
","Univ. of Chicago, Chicago, IL
","1984
","Information and Control
"
"Deterministic process logic is elementary
","Joseph Y. Halpern
","IBM Research Laboratory, San Jose, CA
","1984
","Information and Control
"
"Planning Routes through uncertain territory
","Drew McDermott;Ernest Davis
","Yale Univ., New Haven, CT;Yale Univ., New Haven, CT
","1984
","Artificial Intelligence
"
"Extended person-machine interface
","Rachel Reichman-Adar
","Univ. of California, La Jolla
","1984
","Artificial Intelligence
"
"Sequential program structures
","Jim Welsh;John Elder;David Bustard
","University of Queensland, Australia;Queen's University of Belfast, UK;Queen's University of Belfast, UK
","1984
","Sequential program structures
"
"LISP programming
","I Danicic
","University College of Wales, Wales, UK
","1983
","LISP programming
"
"Microcomputers and their commercial applications
","D E. Avison
","University of Aston in Birmingham, Birmingham, UK
","1983
","Microcomputers and their commercial applications
"
"From logic to computers
","P J. Thewlis;B N.T Foxon
","Leicester Polytechnic, Leicester, UK;Leicester Polytechnic, Leicester, UK
","1983
","From logic to computers
"
"A first course in formal language theory
","V J. Rayward-Smith
","University of East Anglia, Norwich, UK
","1983
","A first course in formal language theory
"
"UNIX for users
","C D.F Miller;R D. Boyle
","Heriot-Watt Univ., Edinburgh, UK;University of Leeds, UK
","1983
","UNIX for users
"
"Centralized versus decentralized computing: organizational considerations and management options
","John Leslie King
","Univ. of California, Irvine
","1983
","ACM Computing Surveys (CSUR)
"
"Principles of transaction-oriented database recovery
","Theo Haerder;Andreas Reuter
","Univ. of Kaiserslautern, West Germany;IBM Research Laboratory, San Jose, CA
","1983
","ACM Computing Surveys (CSUR)
"
"Voice response systems
","D L. Lee;F H. Lochovsky
","Univ. of Toronto, Toronto, Canada;Univ. of Toronto, Toronto, Canada
","1983
","ACM Computing Surveys (CSUR)
"
"Algorithms for trie compaction
","M. Al-Suwaiyel;E Horowitz
","Univ. of Southern California, CA;Univ. of Southern California, CA
","1984
","ACM Transactions on Database Systems (TODS)
"
"LISP: a gentle introduction to symbolic computation
","David S. Touretzky
","Carnegie-Mellon Univ., Pittsburgh, PA
","1984
","LISP: a gentle introduction to symbolic computation
"
"Distributed databases principles and systems
","Stefano Ceri;Giuseppe Pelagatti
","Politecnico di Milano, Milan, Italy;Politecnico di Milano, Milan, Italy
","1984
","Distributed databases principles and systems
"
"Proc. of the symposium on A new approach to scientific computation
","Ulrich W. Kulisch;Willard L. Miranker
","Univ. of Karlsruhe, Karlsruhe, West Germany;IBM Thomas J. Watson Research Center, Yorktown Heights, NY
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"A new arithmetic for scientific computation
","Ulrich Kulisch
","University of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Computer demonstration packages for standard problems of numerical mathematics
","Siegfried M. Rump
","Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Solving algebraic problems with high accuracy
","Siegfried M. Rump
","Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Evaluation of arithmetic expressions with maximum accuracy
","Harald Böhm
","Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Solving function space problems with guaranteed close bounds
","Edgar Kaucher
","Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Ultra-arithmetic: the digital computer set in function space
","W L. Miranker
","IBM Thomas J. Watson Research Center, Yorktown Heights, NY
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"A FORTRAN extension for scientific computation
","U. W Kulisch
","-
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"An introduction to matrix PASCAL: a PASCAL extension for scientific computation
","J Wolff von Gudenberg
","Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Realization of an optimal computer arithmetic
","G Bohlender;K Gruner
","Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Features of a hardware implementation of an optimal arithmetic
","U Kulisch;G Bohlender
","Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Differentiation and generation of taylor coefficients in PASCAL-SC
","L B. Rall
","Univ. of Wisconsin-Madison, Madison
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"MATRIX PASCAL
","G Bohlender;H Böhm;K Gruner;E Kaucher;R Klatte;W Kramer;U W. Kulisch;W L. Miranker;S M. Rump;Ch Ullrich;J Wolff von Gudenberg
","Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germamy;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany;Univ. of Karlsruhe, Karlsruhe, West Germany
","1983
","Proc. of the symposium on A new approach to scientific computation
"
"Logical, internal, and physical reference behavior in CODASYL database systems
","Wolfgang Effelsberg;Mary E. S. Loomis
","Univ. of Arizona, Tucson;Univ. of Arizona, Tucson
","1984
","ACM Transactions on Database Systems (TODS)
"
"A parallel pipelined relational query processor
","Won Kim;Daniel Gajski;David J. Kuck
","IBM Research;University of Illinois;University of Illinois
","1984
","ACM Transactions on Database Systems (TODS)
"
"Guide to effective software technical writing
","Christine Browning
","-
","1984
","Guide to effective software technical writing
"
"Electronic speech synthesis
","Geoff Bristow
","Texas Instruments Ltd. (North Europe)
","1984
","Electronic speech synthesis
"
"Programming in C
","Stephen G. Kochan
","-
","1983
","Programming in C
"
"Information systems for planning and decision making
","Ernest A. Kallman;Leon Reinharth
","Bentley College, Waltham, MA;Hoan Products Ltd.
","1984
","Information systems for planning and decision making
"
"Environments for VLSI and software engineering
","Randy Katz;Walt Scacchi;P Subrahmanyam
","Univ. of California-Berkeley, Berkeley;Univ. of Southern California, Los Angeles;Univ. of Utah, Salt Lake City
","1984
","Journal of Systems and Software
"
"Parallels between software and VLSI engineering
","S Hirschhorn;A M. Davis
","GTE Laboratories, Inc.;GTE Laboratories, Inc.
","1984
","Journal of Systems and Software
"
"a decision-based framework for comparing hardware compilers
","Jack Mostow
","USC Information Sciences Institute
","1984
","Journal of Systems and Software
"
"Application of a transformational software development methodology to VLSI design
","Jack Mostow;Bob Balzer
","USC Information Sciences Institute;USC Information Sciences Institute
","1984
","Journal of Systems and Software
"
"ART-an automated requirements traceability system
","Merlin Dorfman;Richard F. Flynn
","Lockheed Missiles & Space Company, Inc.;Lockheed Missiles & Space Company, Inc.
","1984
","Journal of Systems and Software
"
"Metrics to measure the complexity of partial programs
","Robert G. Reynolds
","Wayne State University
","1984
","Journal of Systems and Software
"
"Pseudo-extensions of computable functions
","John Case
","State Univ. of New York at Buffalo, Amherst
","1984
","Information and Control
"
"Cognitive systems engineering: new wine in new bottles
","Erik Hollnagel;David D. Woods
","Riso National Laboratory, Denmark;Westinghouse Research & Development, Pittsburgh, PA
","1983
","International Journal of Man-Machine Studies
"
"Practical data-swapping: the first steps
","Steven P. Reiss
","Brown Univ., Providence, RI
","1984
","ACM Transactions on Database Systems (TODS)
"
"Programmer-defined control operations
","R E. Griswold;Michael Novak
","The University of Arizona, Tucson;The University of Arizona, Tucson
","1983
","The Computer Journal
"
"An extension of conflict-free multivalued dependency sets
","Hirofumi Katsuno
","Musashino Electrical Communication Laboratory
","1984
","ACM Transactions on Database Systems (TODS)
"
"Medical Decision Making
","Lee B Lusted
","Scripps Clinic and Research Foundation, La Jolla, CA
","1984
","Medical Decision Making
"
"Strategy of computer selection: a step-by-step approach
","Fred Kelly;Peter Poggi
","-;-
","1984
","Strategy of computer selection: a step-by-step approach
"
"Database management systems
","R A. Frost
","-
","1984
","Database management systems
"
"Result sequences
","Stephen B. Wampler;Ralph E. Griswold
","The Univ. of Arizona, Tucson;The Univ. of Arizona, Tucson
","1984
","Computer Languages
"
"The contraction of control implementations
","Lawrence A. Coon;John P. Kearns;Mary Lou Soffa
","Univ. of Pittsburgh, Pittsburgh, PA;Univ. of Pittsburgh, Pittsburgh, PA;Univ. of Pittsburgh, Pittsburgh, PA
","1984
","Computer Languages
"
"The use of combinators in translating a purely functional language to low-level data-flow graphs
","Peter M. Maurer;Arthur E. Oldehoeft
","Iowa State Univ., Ames;Iowa State Univ., Ames
","1984
","Computer Languages
"
"Software system testing and quality assurance
","Boris Beizer
","Data Systems Analysts, Inc., Pennsauken, NJ
","1984
","Software system testing and quality assurance
"
"Computer organization (2nd ed.)
","V. Carl Hamacher;Zvonko G. Vranesic;Safwat G. Zaky
","Univ. of Toronto, Toronto, Canada;Univ. of Toronto, Toronto, Canada;Univ. of Toronto, Toronto, Canada
","1984
","Computer organization (2nd ed.)
"
"Auditing EDP systems
","Donald A. Watne;Peter B.B Turney
","Portland State University;Portland State University
","1984
","Auditing EDP systems
"
"A rational reconstruction of the MYCIN consultation system
","J Cendrowska;M A. Bramer
","The Open Univ., Milton Keynes, UK;The Open Univ., Milton Keynes, UK
","1984
","International Journal of Man-Machine Studies - Developments in expert systems, part 3. M. J. Coombs (guest ed.)
"
"Using an expert system in merging qualitative and quantitative data analysis
","J G. Ganascia
","L.R.I., Orsay Cedex, France
","1984
","International Journal of Man-Machine Studies - Developments in expert systems, part 3. M. J. Coombs (guest ed.)
"
"Spacetime representations of computational structures
","W L. Miranker;A Winkler
","-;-
","1984
","Computing
"
"Asymptotic error expansions for defect correction iterates
","R Frank;F Macsek;C W. Ueberhuber
","-;-;-
","1984
","Computing
"
"A quadratically convergent method for computing simple singular roots and its application to determining simple bifurcation points
","R Menzel;G Ponisch
","-;-
","1984
","Computing
"
"On preconditioned iterative methods for solving (A-/lB)=0
","D J Evans
","-
","1984
","Computing
"
"The lsubp-solution of the linear matrix equation AX+YB=C
","K Zietak
","-
","1984
","Computing
"
"A numerical solution of the membrane eigenvalue problem
","A B. Sideridis
","-
","1984
","Computing
"
"Computation of fourier transform integrals using Chebyshev series expansions
","R Piessens;Maria Branders
","-;-
","1984
","Computing
"
"Parameter Nets
","Dana H. Ballard
","University of Rochester, Rochester, NY
","1984
","Artificial Intelligence
"
"Domain-independent planning: representation and plan generation
","David E. Wilkins
","SRI International, Menlo Park, CA
","1984
","Artificial Intelligence
"
"A new use of an automated reasoning assistant: open questions in equivalential calculus and the study of infinite domains
","L Wos;S Winker;B Smith;R Veroff;L Henschen
","Argonne National Laboratory, Argonne, IL;Argonne National Laboratory, Argonne, IL;Argonne National Laboratory, Argonne, IL;Univ. of New Mexico, Albuquerque;Northwestern Univ., Evanston, IL
","1984
","Artificial Intelligence
"
"Probabilities from fuzzy observations
","Ronald R. Yager
","Iona College, New Rochelle, NY
","1984
","Information Sciences: an International Journal
"
"The database designer's workbench
","Richard E. Cobb;James P. Fry;Toby J. Teorey
","Univ. of Michigan, Ann Arbor;Univ. of Michigan, Ann Arbor;Univ. of Michigan, Ann Arbor
","1984
","Information Sciences: an International Journal
"
